serial_number,circular_number,title,date,detail_url,canonical_url,source_url,scraped_at
76,DOR.RET.REC.16/12.01.001/2022-23,"Notification on Section 24 and Section 56 of the Banking Regulation Act, 1949 - Maintenance of Statutory Liquidity Ratio (SLR)",2022-04-08,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12289&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12289&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
77,DOR.AML.REC.11/14.06.001/2022-23,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Amendment in Two Entries",2022-04-04,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12284&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12284&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
78,DOR.AML.REC.94/14.06.001/2021-22,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Addition of 1 Entry (Entity)",2022-03-10,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12255&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12255&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
79,DOR.AML.REC.91/14.06.001/2021-22,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Removal of 2 entries",2022-03-08,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12250&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12250&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
80,DOR.RUR.REC.86/19.51.025/2021-22,"Inclusion in the Second Schedule to the Reserve Bank of India Act, 1934 - Sikkim State Co-operative Bank Ltd",2022-02-18,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12246&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12246&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
81,DoR.RRA.89/01.01.101/2021-22,Regulations Review Authority (RRA 2.0) - Interim Recommendations - Withdrawal of Circulars,2022-02-18,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12241&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12241&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
82,DOR.AML.REC.83/14.06.001/2021-22,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Deletion of 1 Entry",2022-01-27,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12224&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12224&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
83,DOR.AML.REC.82/14.06.001/2021-22,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Deletion of 3 Entries",2022-01-18,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12221&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12221&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
84,Notification No.DOR.FIN.080/CGM(JPS)-2022,"Registration of Factors (Reserve Bank) Regulations, 2022",2022-01-14,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12222&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12222&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
85,Notification No.DOR.FIN.081/CGM(JPS)-2022,"Registration of Assignment of Receivables (Reserve Bank) Regulations, 2022",2022-01-14,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12223&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12223&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
